tag,c,L,t,rho,se,n,seconds
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006558291029666363,3.100947868561226e-05,681580,1800.6
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006715577250801536,3.113228495548087e-05,692420,1801.1
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006652482694555153,3.156078258703467e-05,667420,1800.5
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006566820276497696,3.0741854705092254e-05,694400,1801.0
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006322429639778501,3.0029272335943252e-05,700680,1800.4
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006700636942675159,2.9206375469102927e-05,785000,1801.9
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.000665798234187292,3.1032666825981704e-05,690900,1800.6
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006418828563787109,3.087269022870282e-05,673020,1801.0
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006538405901923911,3.074401861444942e-05,691300,1800.6
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006387671122347436,2.9299282970520478e-05,743620,1800.5
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006538030179445351,2.8856670496524912e-05,784640,1800.7
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.00063993600639936,2.8272392498090527e-05,800080,1800.8
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006216741065799097,2.7990089197703526e-05,793020,1800.5
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006683759832719307,2.8832912143652877e-05,803440,1801.0
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006892762599270766,2.9327433308151186e-05,800840,1800.4
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006556010307715628,2.8768256359623813e-05,791640,1800.6
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006294158622748532,2.7972140840206694e-05,803920,1800.6
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006606224087117239,2.8713224420765328e-05,800760,1800.9
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006789148075738504,3.0141428203122393e-05,746780,1800.6
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006488717183246993,2.3861386743956884e-05,1138900,1800.3
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006393161789378874,2.3752402380199258e-05,1132460,1800.1
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006821942889334883,2.449678220087849e-05,1136040,1800.5
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006919548205543348,2.5814588647664985e-05,1037640,1800.4
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006391372508484504,2.345596723885477e-05,1160940,1800.3
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006363209760675739,2.442998349477808e-05,1065500,1800.2
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.000653,2.5545519979049165e-05,1000000,1800.3
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006568802812557824,2.597724613808012e-05,972780,1800.4
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006705475641738854,2.5800733116544848e-05,1006640,1800.3
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006221510159766754,2.5141139810465453e-05,983684,1786.7
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0005719421521366124,0.00010805599291200898,48956,90.8
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0014705882352941176,0.0004898355075268036,6120,13.8
